Total,Roll,Pitch,Yaw,,,,,new total
Total: 4423.86261028047,1976.047035,2729.306896,8566.2339, Mag 51, Accel 3, lowestaccel 7, lowestMag 50,8093.679513
Total: 6315.1037961917,1467.893402,2731.286668,14746.13132, Mag 8, Accel 5, lowestaccel 5, lowestMag 8,8258.290529
Total: 4437.23652600057,1697.086361,2732.826449,8881.796767, Mag 29, Accel 4, lowestaccel 8, lowestMag 28,7881.2103
Total: 4417.2602266128,1975.942844,2735.121564,8540.716272, Mag 52, Accel 3, lowestaccel 7, lowestMag 51,8102.663314
Total: 6025.18867793713,1469.348236,2738.074307,13868.14349, Mag 9, Accel 5, lowestaccel 5, lowestMag 9,8185.376376
Total: 4412.2311979452,1697.058629,2739.08674,8800.548225, Mag 30, Accel 4, lowestaccel 8, lowestMag 29,7885.581068
Total: 4410.97766027256,1975.847219,2740.903571,8516.182192, Mag 53, Accel 3, lowestaccel 7, lowestMag 52,8111.687857
Total: 5779.72050264847,1470.619754,2744.85476,13123.68699, Mag 10, Accel 5, lowestaccel 9, lowestMag 9,8125.635997
Total: 4389.05747240926,1697.01767,2745.296138,8724.858609, Mag 31, Accel 4, lowestaccel 8, lowestMag 30,7890.39404
Total: 4389.05747240926,1697.01767,2745.296138,8724.858609, Mag 31, Accel 4, lowestaccel 4, lowestMag 31,7890.39404
Total: 4404.99395222953,1975.758864,2746.651112,8492.571881, Mag 54, Accel 3, lowestaccel 7, lowestMag 53,8120.74239
Total: 4367.5479456838,1696.977985,2751.450933,8654.214919, Mag 32, Accel 4, lowestaccel 8, lowestMag 31,7895.603545
Total: 5570.69027280806,1471.736992,2751.60153,12488.7323, Mag 11, Accel 5, lowestaccel 9, lowestMag 10,8076.639582
Total: 4399.30229563465,1975.684646,2752.373594,8469.848647, Mag 55, Accel 3, lowestaccel 7, lowestMag 54,8129.848234
Total: 4347.53551602836,1696.931027,2757.552176,8588.123345, Mag 33, Accel 4, lowestaccel 7, lowestMag 32,7901.154611
Total: 4393.90061308383,1975.622293,2758.119333,8447.960213, Mag 56, Accel 3, lowestaccel 7, lowestMag 55,8139.094751
Total: 5391.61871106579,1472.729161,2758.288931,11943.83804, Mag 12, Accel 5, lowestaccel 10, lowestMag 11,8036.417912
Total: 4328.89072560807,1696.885833,2763.60257,8526.183774, Mag 34, Accel 4, lowestaccel 7, lowestMag 33,7907.020767
Total: 4388.7612866425,1975.569211,2763.860403,8426.854246, Mag 57, Accel 3, lowestaccel 7, lowestMag 56,8148.418521
Total: 5237.29467186281,1473.615094,2764.906851,11473.36207, Mag 13, Accel 5, lowestaccel 10, lowestMag 12,8003.403493
Total: 4383.86136391577,1975.524598,2769.56932,8406.490173, Mag 58, Accel 3, lowestaccel 7, lowestMag 57,8157.759796
Total: 4311.5208147986,1696.84194,2769.602358,8468.118146, Mag 35, Accel 4, lowestaccel 7, lowestMag 34,7913.174276
Total: 5103.50604898399,1474.400787,2771.444453,11064.67291, Mag 14, Accel 5, lowestaccel 10, lowestMag 13,7976.316905
Total: 4379.20822087473,1975.4989,2775.27461,8386.851153, Mag 59, Accel 3, lowestaccel 7, lowestMag 58,8167.183346
Total: 4295.3165006455,1696.80057,2775.557789,8413.591143, Mag 36, Accel 4, lowestaccel 7, lowestMag 35,7919.595206
Total: 4986.8494571609,1475.097819,2777.904031,10707.54652, Mag 15, Accel 5, lowestaccel 10, lowestMag 14,7954.150751
Total: 4374.76452728016,1975.473307,2780.960505,8367.859771, Mag 60, Accel 3, lowestaccel 7, lowestMag 59,8176.632962
Total: 4280.24109348207,1696.763133,2781.470892,8362.489255, Mag 37, Accel 4, lowestaccel 7, lowestMag 36,7926.27753
Total: 4884.56275129907,1475.720425,2784.272871,10393.69496, Mag 16, Accel 5, lowestaccel 9, lowestMag 15,7936.06362
Total: 4266.11671607363,1696.720518,2787.334914,8314.294716, Mag 38, Accel 4, lowestaccel 7, lowestMag 37,7933.147766
Total: 4794.40089718913,1476.277742,2790.566094,10116.35886, Mag 17, Accel 5, lowestaccel 9, lowestMag 16,7921.418041
Total: 4252.85578990076,1696.685914,2793.155358,8268.726098, Mag 39, Accel 4, lowestaccel 7, lowestMag 38,7940.200648
Total: 4714.52373337759,1476.78137,2796.771186,9870.018644, Mag 18, Accel 5, lowestaccel 9, lowestMag 17,7909.647469
Total: 4240.40006371957,1696.666981,2798.932161,8225.601049, Mag 40, Accel 4, lowestaccel 7, lowestMag 39,7947.42471
Total: 4643.41709147337,1477.236204,2802.899038,9650.116032, Mag 19, Accel 5, lowestaccel 9, lowestMag 18,7900.322264
Total: 4228.68767383312,1696.642332,2804.675471,8184.745219, Mag 41, Accel 4, lowestaccel 7, lowestMag 40,7954.803562
Total: 4579.83606923443,1477.661526,2808.946146,9452.900535, Mag 20, Accel 5, lowestaccel 9, lowestMag 19,7893.07772
Total: 4217.6828602319,1696.631465,2810.375287,8146.041829, Mag 42, Accel 4, lowestaccel 7, lowestMag 41,7962.323075
Total: 4522.73812125257,1478.054915,2814.919743,9275.239706, Mag 21, Accel 5, lowestaccel 8, lowestMag 20,7887.61288
Total: 4207.30138999815,1696.624999,2816.033811,8109.24536, Mag 43, Accel 4, lowestaccel 7, lowestMag 42,7969.954658
Total: 10610.8917755473,1327.286405,2817.551426,27687.8375, Mag 1, Accel 6, lowestaccel 6, lowestMag 1,9598.444366
Total: 4471.87722365079,1478.414921,2820.82213,9116.39462, Mag 22, Accel 5, lowestaccel 8, lowestMag 21,7883.857151
Total: 9640.87925193897,1330.436616,2821.100109,24771.10103, Mag 2, Accel 6, lowestaccel 6, lowestMag 2,9316.703275
Total: 4197.50758382,1696.627866,2821.660352,8074.234534, Mag 44, Accel 4, lowestaccel 7, lowestMag 43,7977.709236
Total: 8798.60496404909,1333.186506,2825.343204,22237.28518, Mag 3, Accel 6, lowestaccel 6, lowestMag 3,9074.282782
Total: 4427.35310691066,1478.749518,2826.656461,8976.653343, Mag 23, Accel 5, lowestaccel 8, lowestMag 22,7881.852821
Total: 4188.26768887191,1696.638834,2827.245448,8040.918784, Mag 45, Accel 4, lowestaccel 7, lowestMag 44,7985.557726
Total: 8082.81797929728,1335.598841,2830.164789,20082.69031, Mag 4, Accel 6, lowestaccel 6, lowestMag 4,8870.637565
Total: 4387.35836970602,1479.059558,2832.421925,8850.593626, Mag 24, Accel 5, lowestaccel 8, lowestMag 23,7881.056814
Total: 4179.54611408204,1696.662334,2832.79923,8009.176778, Mag 46, Accel 4, lowestaccel 7, lowestMag 45,7993.512239
Total: 4179.54611408204,1696.662334,2832.79923,8009.176778, Mag 46, Accel 4, lowestaccel 4, lowestMag 46,7993.512239
Total: 7481.34181078132,1337.767446,2835.411255,18270.84673, Mag 5, Accel 6, lowestaccel 6, lowestMag 5,8701.897885
Total: 4351.05035220421,1479.362158,2838.125621,8735.663277, Mag 25, Accel 5, lowestaccel 8, lowestMag 24,7881.243512
Total: 4171.29169631033,1696.69039,2838.316872,7978.867827, Mag 47, Accel 4, lowestaccel 7, lowestMag 46,8001.541878
Total: 6978.12337045332,1339.713352,2840.948688,16753.70807, Mag 6, Accel 6, lowestaccel 6, lowestMag 6,8563.0102
Total: 4318.04069291394,1479.677927,2843.768144,8630.676007, Mag 26, Accel 5, lowestaccel 8, lowestMag 25,7882.314023
Total: 4163.47999479373,1696.728612,2843.801881,7949.909491, Mag 48, Accel 4, lowestaccel 7, lowestMag 47,8009.650462
Total: 6557.14382629263,1341.452417,2846.672721,15483.30634, Mag 7, Accel 6, lowestaccel 6, lowestMag 7,8448.983251
Total: 4156.07836088143,1696.773073,2849.251135,7922.210875, Mag 49, Accel 4, lowestaccel 7, lowestMag 48,8017.819123
Total: 4287.82853487202,1479.979416,2849.356577,8534.149612, Mag 27, Accel 5, lowestaccel 5, lowestMag 27,7884.10959
Total: 6204.056126659,1343.013415,2852.50114,14416.65383, Mag 8, Accel 6, lowestaccel 6, lowestMag 8,8355.379735
Total: 4149.07453800845,1696.834992,2854.672201,7895.716421, Mag 50, Accel 4, lowestaccel 7, lowestMag 49,8026.067537
Total: 4260.04046896028,1480.279019,2854.889864,8444.952523, Mag 28, Accel 5, lowestaccel 8, lowestMag 27,7886.526098
Total: 5906.67947108674,1344.414322,2858.373333,13517.25076, Mag 9, Accel 6, lowestaccel 6, lowestMag 9,8278.444631
Total: 4142.42767872531,1696.901397,2860.056843,7870.324797, Mag 51, Accel 4, lowestaccel 7, lowestMag 50,8034.357422
Total: 4234.49630039915,1480.569813,2860.368528,8362.55056, Mag 29, Accel 5, lowestaccel 8, lowestMag 28,7889.504944
Total: 5654.96187382847,1345.679985,2864.256198,12754.94944, Mag 10, Accel 6, lowestaccel 6, lowestMag 10,8215.119327
Total: 4136.12283966095,1696.974985,2865.414045,7845.979489, Mag 52, Accel 4, lowestaccel 7, lowestMag 51,8042.703526
Total: 4210.82273547852,1480.854365,2865.794637,8285.819204, Mag 30, Accel 5, lowestaccel 8, lowestMag 29,7892.940123
Total: 5440.70314556144,1346.830334,2870.110094,12105.16901, Mag 11, Accel 6, lowestaccel 6, lowestMag 11,8162.884391
Total: 4130.14420203509,1697.062045,2870.743394,7822.627168, Mag 53, Accel 4, lowestaccel 7, lowestMag 52,8051.105344
Total: 4188.91293115423,1481.12974,2871.176306,8214.432748, Mag 31, Accel 5, lowestaccel 8, lowestMag 30,7896.812652
Total: 4188.91293115423,1481.12974,2871.176306,8214.432748, Mag 31, Accel 5, lowestaccel 5, lowestMag 31,7896.812652
Total: 5257.27097863874,1347.878115,2875.928495,11548.00633, Mag 12, Accel 6, lowestaccel 6, lowestMag 12,8119.747926
Total: 4124.46931339034,1697.15918,2876.040828,7800.207932, Mag 54, Accel 4, lowestaccel 7, lowestMag 53,8059.545711
Total: 4168.53636673611,1481.411945,2876.510396,8147.68676, Mag 32, Accel 5, lowestaccel 8, lowestMag 31,7901.060217
Total: 4119.07962841521,1697.265293,2881.306738,7778.666854, Mag 55, Accel 4, lowestaccel 7, lowestMag 54,8068.018925
Total: 5099.31316689863,1348.851858,2881.680133,11067.40751, Mag 13, Accel 6, lowestaccel 10, lowestMag 12,8084.067689
Total: 4149.52821248411,1481.686872,2881.795032,8085.102734, Mag 33, Accel 5, lowestaccel 7, lowestMag 32,7905.618522
Total: 4113.9649353949,1697.382518,2886.55342,7757.958868, Mag 56, Accel 4, lowestaccel 7, lowestMag 55,8076.546993
Total: 4131.84669251456,1481.979551,2887.039541,8026.520985, Mag 34, Accel 5, lowestaccel 7, lowestMag 33,7910.512777
Total: 4962.49373090303,1349.756547,2887.367899,10650.35675, Mag 14, Accel 6, lowestaccel 10, lowestMag 13,8054.552365
Total: 4109.09741134891,1697.503988,2891.762396,7738.02585, Mag 57, Accel 4, lowestaccel 7, lowestMag 56,8085.080966
Total: 4115.3190707126,1482.278281,2892.239173,7971.439758, Mag 35, Accel 5, lowestaccel 7, lowestMag 34,7915.672774
Total: 4843.31468259459,1350.601932,2892.986463,10286.35565, Mag 15, Accel 6, lowestaccel 10, lowestMag 14,8030.15023
Total: 4104.48903702395,1697.642017,2896.94774,7718.877354, Mag 58, Accel 4, lowestaccel 7, lowestMag 57,8093.661031
Total: 4099.83845902721,1482.577338,2897.404905,7919.533134, Mag 36, Accel 5, lowestaccel 7, lowestMag 35,7921.082727
Total: 4738.93175218945,1351.395682,2898.533957,9966.865618, Mag 16, Accel 6, lowestaccel 9, lowestMag 15,8010.01059
Total: 4100.10111839591,1697.781226,2902.107105,7700.415024, Mag 59, Accel 4, lowestaccel 7, lowestMag 58,8102.258816
Total: 4085.3226794093,1482.894106,2902.529004,7870.544928, Mag 37, Accel 5, lowestaccel 7, lowestMag 36,7926.717197
Total: 4647.02309078184,1352.144374,2904.006034,9684.918865, Mag 17, Accel 6, lowestaccel 9, lowestMag 16,7993.433891
Total: 4095.93374060198,1697.934075,2907.242088,7682.625059, Mag 60, Accel 4, lowestaccel 7, lowestMag 59,8110.887349
Total: 4071.70053858087,1483.221778,2907.611235,7824.268602, Mag 38, Accel 5, lowestaccel 7, lowestMag 37,7932.548931
Total: 4565.74010204528,1352.849926,2909.409002,9434.961378, Mag 18, Accel 6, lowestaccel 9, lowestMag 17,7979.879075
Total: 4058.93988134782,1483.553185,2912.659909,7780.60655, Mag 39, Accel 5, lowestaccel 7, lowestMag 38,7938.57834
Total: 4496.9383183375,1353.527737,2914.739904,9222.547314, Mag 19, Accel 6, lowestaccel 9, lowestMag 18,7969.909503
Total: 4046.92829852661,1483.887301,2917.671404,7739.22619, Mag 40, Accel 5, lowestaccel 7, lowestMag 39,7944.763999
Total: 4437.37872688457,1354.172911,2920.002442,9037.960828, Mag 20, Accel 6, lowestaccel 9, lowestMag 19,7962.556586
Total: 10605.2016093691,1272.368977,2921.580033,27621.65582, Mag 1, Accel 7, lowestaccel 7, lowestMag 1,9750.457728
Total: 4035.62085407314,1484.231013,2922.653019,7699.97853, Mag 41, Accel 5, lowestaccel 7, lowestMag 40,7951.111803
Total: 9625.53379756934,1274.923689,2924.473653,24677.20405, Mag 2, Accel 7, lowestaccel 7, lowestMag 2,9464.099031
Total: 4384.83064370754,1354.793492,2925.200442,8874.497997, Mag 21, Accel 6, lowestaccel 8, lowestMag 20,7957.164826
Total: 4024.95596453668,1484.57738,2927.595828,7662.694686, Mag 42, Accel 5, lowestaccel 7, lowestMag 41,7957.580766
Total: 8771.81500674643,1277.161613,2928.00687,22110.27654, Mag 3, Accel 7, lowestaccel 7, lowestMag 3,9216.486845
Total: 4338.03496014786,1355.391281,2930.33523,8728.37837, Mag 22, Accel 6, lowestaccel 8, lowestMag 21,7953.36045
Total: 8044.37071463746,1279.137868,2932.081667,19921.89261, Mag 4, Accel 7, lowestaccel 7, lowestMag 4,9007.576676
Total: 4014.89682199945,1484.933569,2932.507369,7627.249528, Mag 43, Accel 5, lowestaccel 7, lowestMag 42,7964.179903
Total: 4295.89500927904,1355.973006,2935.41179,8596.300232, Mag 23, Accel 6, lowestaccel 8, lowestMag 22,7950.829308
Total: 7431.95730862465,1280.910882,2936.557099,18078.40394, Mag 5, Accel 7, lowestaccel 7, lowestMag 5,8833.774386
Total: 4005.39584245031,1485.297552,2937.386704,7593.503271, Mag 44, Accel 5, lowestaccel 7, lowestMag 43,7970.891532
Total: 4257.83158468334,1356.534297,2940.427033,8476.533424, Mag 24, Accel 6, lowestaccel 8, lowestMag 23,7949.388276
Total: 6918.97542270032,1282.513643,2941.314009,16533.09862, Mag 6, Accel 7, lowestaccel 7, lowestMag 6,8690.200158
Total: 3996.43004574395,1485.69078,2942.238,7561.361357, Mag 45, Accel 5, lowestaccel 7, lowestMag 44,7977.733838
Total: 4223.18574905693,1357.081598,2945.391489,8367.08416, Mag 25, Accel 6, lowestaccel 8, lowestMag 24,7948.864833
Total: 6489.53140170048,1283.973169,2946.253311,15238.36773, Mag 7, Accel 7, lowestaccel 7, lowestMag 7,8571.919247
Total: 3987.94627176572,1486.085998,2947.056715,7530.696103, Mag 46, Accel 5, lowestaccel 7, lowestMag 45,7984.660438
Total: 3987.94627176572,1486.085998,2947.056715,7530.696103, Mag 46, Accel 5, lowestaccel 5, lowestMag 46,7984.660438
Total: 4191.50433765453,1357.623103,2950.296343,8266.593567, Mag 26, Accel 6, lowestaccel 8, lowestMag 25,7949.112835
Total: 6129.24255938454,1285.328267,2951.301428,14151.09798, Mag 8, Accel 7, lowestaccel 7, lowestMag 8,8474.508094
Total: 3979.92194476382,1486.490646,2951.848167,7501.427021, Mag 47, Accel 5, lowestaccel 7, lowestMag 46,7991.680618
Total: 4162.4995840691,1358.146037,2955.160309,8174.192406, Mag 27, Accel 6, lowestaccel 6, lowestMag 27,7950.071292
Total: 5825.81607976125,1286.584246,2956.402327,13234.46167, Mag 9, Accel 7, lowestaccel 7, lowestMag 9,8394.176641
Total: 3972.3291310785,1486.904291,2956.605456,7473.477647, Mag 48, Accel 5, lowestaccel 7, lowestMag 47,7998.772538
Total: 4135.763664156,1358.665207,2959.971841,8088.653945, Mag 28, Accel 6, lowestaccel 8, lowestMag 27,7951.607762
Total: 3965.15893963617,1487.327572,2961.341932,7446.807315, Mag 49, Accel 5, lowestaccel 7, lowestMag 48,8005.95941
Total: 5569.03982992583,1287.735641,2961.518762,12457.86509, Mag 10, Accel 7, lowestaccel 7, lowestMag 10,8327.786109
Total: 4111.17576601401,1359.178849,2964.735222,8009.613227, Mag 29, Accel 6, lowestaccel 8, lowestMag 28,7953.69273
Total: 3958.35912962903,1487.756008,2966.048099,7421.273281, Mag 50, Accel 5, lowestaccel 7, lowestMag 49,8013.203934
Total: 5350.57392972424,1288.799576,2966.616586,11796.30563, Mag 11, Accel 7, lowestaccel 7, lowestMag 11,8272.783353
Total: 4088.92383225854,1359.687785,2969.456463,7937.627249, Mag 30, Accel 6, lowestaccel 8, lowestMag 29,7956.394657
Total: 3951.91638885273,1488.19668,2970.72657,7396.825917, Mag 51, Accel 5, lowestaccel 7, lowestMag 50,8020.512743
Total: 5163.65469596805,1289.786366,2971.686736,11229.49099, Mag 12, Accel 7, lowestaccel 7, lowestMag 12,8227.1303
Total: 4069.10962705166,1360.193563,2974.135758,7872.999561, Mag 31, Accel 6, lowestaccel 8, lowestMag 30,7959.745678
Total: 4069.10962705166,1360.193563,2974.135758,7872.999561, Mag 31, Accel 6, lowestaccel 6, lowestMag 31,7959.745678
Total: 3945.80487847598,1488.644548,2975.381582,7373.388505, Mag 52, Accel 5, lowestaccel 7, lowestMag 51,8027.882108
Total: 5002.80706896112,1290.710474,2976.706489,10741.00424, Mag 13, Accel 7, lowestaccel 7, lowestMag 13,8189.152829
Total: 4050.95046111105,1360.694265,2978.777326,7813.379792, Mag 32, Accel 6, lowestaccel 8, lowestMag 31,7963.51747
Total: 3940.03823379534,1489.102677,2980.011492,7351.000533, Mag 53, Accel 5, lowestaccel 7, lowestMag 52,8035.315446
Total: 4863.6032345319,1291.577813,2981.674049,10317.55784, Mag 14, Accel 7, lowestaccel 7, lowestMag 14,8157.523913
Total: 4034.15616962941,1361.196225,2983.377118,7757.895166, Mag 33, Accel 6, lowestaccel 7, lowestMag 32,7967.620355
Total: 3934.61833292342,1489.588908,2984.61708,7329.64901, Mag 54, Accel 5, lowestaccel 7, lowestMag 53,8042.829079
Total: 4742.46346654278,1292.412823,2986.578154,9948.399422, Mag 15, Accel 7, lowestaccel 7, lowestMag 15,8131.167791
Total: 4018.4254908338,1361.696601,2987.942073,7705.637799, Mag 34, Accel 6, lowestaccel 7, lowestMag 33,7971.974867
Total: 3929.5245426342,1490.085806,2989.196748,7309.291074, Mag 55, Accel 5, lowestaccel 7, lowestMag 54,8050.399829
Total: 4636.46159035095,1293.205282,2991.423417,9624.756072, Mag 16, Accel 7, lowestaccel 7, lowestMag 16,8109.207195
Total: 4003.76087344994,1362.215956,2992.467963,7656.598702, Mag 35, Accel 6, lowestaccel 7, lowestMag 34,7976.590156
Total: 3924.68626785375,1490.58727,2993.750755,7289.720779, Mag 56, Accel 5, lowestaccel 7, lowestMag 55,8058.002131
Total: 4547.64609969492,1293.965069,2996.204167,9352.769062, Mag 17, Accel 7, lowestaccel 7, lowestMag 17,8092.253803
Total: 3990.03092337319,1362.738203,2996.961275,7610.393291, Mag 36, Accel 6, lowestaccel 7, lowestMag 35,7981.426263
Total: 3920.12143230303,1491.098209,2998.287078,7270.97901, Mag 57, Accel 5, lowestaccel 7, lowestMag 56,8065.660445
Total: 4473.14680466992,1294.697532,3000.921964,9123.820918, Mag 18, Accel 7, lowestaccel 7, lowestMag 18,8079.453799
Total: 3977.12194258645,1363.261689,3001.420356,7566.683783, Mag 37, Accel 6, lowestaccel 7, lowestMag 36,7986.444611
Total: 3915.81294479341,1491.618111,3002.791769,7253.028955, Mag 58, Accel 5, lowestaccel 7, lowestMag 57,8073.342733
Total: 10614.1519820457,1273.58642,3005.574588,27563.29494, Mag 1, Accel 8, lowestaccel 7, lowestMag 1,9913.706447
Total: 4408.62816279663,1295.405597,3005.577189,8924.901702, Mag 19, Accel 7, lowestaccel 7, lowestMag 19,8069.509586
Total: 3965.0770317752,1363.792008,3005.846262,7525.592825, Mag 38, Accel 6, lowestaccel 7, lowestMag 37,7991.664614
Total: 3911.74201348467,1492.140832,3007.280693,7235.804516, Mag 59, Accel 5, lowestaccel 7, lowestMag 58,8081.068586
Total: 9627.47277949138,1275.944013,3007.94665,24598.52768, Mag 2, Accel 8, lowestaccel 7, lowestMag 2,9624.095679
Total: 4352.05641518394,1296.090507,3010.172808,8749.90593, Mag 20, Accel 7, lowestaccel 7, lowestMag 20,8061.817667
Total: 3953.73907622207,1364.323994,3010.24328,7486.649955, Mag 39, Accel 6, lowestaccel 7, lowestMag 38,7997.043149
Total: 8765.06749972299,1278.05234,3010.901754,22006.24841, Mag 3, Accel 8, lowestaccel 8, lowestMag 3,9372.675454
Total: 3907.89756760115,1492.677113,3011.744975,7219.270614, Mag 60, Accel 5, lowestaccel 7, lowestMag 59,8088.826414
Total: 6623.15317950559,4981.403104,3012.589503,11875.46693, Mag 9, Accel 54, lowestaccel 9, lowestMag 9,11695.98849
Total: 8028.55595498799,1279.960338,3014.357407,19791.35012, Mag 4, Accel 8, lowestaccel 8, lowestMag 4,9159.814131
Total: 3943.05115627379,1364.860713,3014.607689,7449.685067, Mag 40, Accel 6, lowestaccel 7, lowestMag 39,8002.558526
Total: 4301.96788927038,1296.757577,3014.712149,8594.433941, Mag 21, Accel 7, lowestaccel 7, lowestMag 21,8055.949512
Total: 6195.33903283335,4844.467741,3017.54369,10724.00567, Mag 28, Accel 50, lowestaccel 8, lowestMag 28,11467.50891
Total: 7407.52989040176,1281.724352,3018.192132,17922.67319, Mag 5, Accel 8, lowestaccel 8, lowestMag 5,8982.2035
Total: 3933.02366060514,1365.405194,3018.941426,7414.724362, Mag 41, Accel 6, lowestaccel 7, lowestMag 40,8008.219962
Total: 4257.16477750558,1297.410102,3019.195519,8454.888712, Mag 22, Accel 7, lowestaccel 7, lowestMag 22,8051.549
Total: 6254.68496778903,4886.192851,3021.174288,10856.68776, Mag 31, Accel 51, lowestaccel 8, lowestMag 31,11525.59092
Total: 6279.23296051379,4923.671479,3021.330334,10892.69707, Mag 31, Accel 52, lowestaccel 8, lowestMag 31,11563.23471
